Gene_ID,TG_D14,TG_D0,log2FoldChange,pvalue,padj,GeneName,Chrom,Strand,Start,End,GeneLength,GeneType,GeneDescription,TG_D14_1_readcount,TG_D14_2_readcount,TG_D14_3_readcount,TG_D0_1_readcount,TG_D0_2_readcount,TG_D0_3_readcount,TG_D14_1_fpkm,TG_D14_2_fpkm,TG_D14_3_fpkm,TG_D0_1_fpkm,TG_D0_2_fpkm,TG_D0_3_fpkm
ENSMUSG00000051067,14.14262765,169.6734493,-2.5793,4.29E-20,2.72E-17,Lingo3,chr10,-,80832807,80844039,3433,protein_coding,leucine_rich_repeat_and_Ig_domain_containing_3,7,19,17,202,128,156,0.10443078,0.286019026,0.28997582,3.259618669,1.798939271,2.063471682
ENSMUSG00000091089,12.65945463,89.71993862,-1.998,3.42E-12,4.92E-10,A930018M24Rik,chr14,-,50895942,50897456,1422,protein_coding,RIKEN_cDNA_A930018M24_gene,9,12,17,89,103,70,0.324150876,0.436110733,0.700061174,3.467205962,3.494764896,2.23535324
ENSMUSG00000090799,17.04340953,97.98035428,-1.8982,3.51E-12,5.00E-10,Klhl33,chr14,-,50891389,50893255,1602,protein_coding,kelch-like_33,21,12,19,93,109,85,0.671368668,0.387109527,0.694508805,3.215952809,3.282799227,2.409373517
ENSMUSG00000048442,68.84140077,284.4294767,-1.7783,6.94E-17,2.77E-14,Smim5,chr11,+,115899966,115906269,1113,protein_coding,small_integral_membrane_protein_5,85,73,57,306,284,234,3.911362321,3.38955606,2.998930203,15.2305467,12.3112886,9.54703273
ENSMUSG00000047658,56.41143015,216.7376054,-1.6463,3.02E-13,5.48E-11,Gal3st3,chr19,+,5298331,5308738,2421,protein_coding,galactose-3-O-sulfotransferase_3,61,77,40,225,225,180,1.290444503,1.643656498,0.967501994,5.14845545,4.48402541,3.376178765
ENSMUSG00000002781,631.0833441,2100.030908,-1.6188,3.44E-24,3.43E-21,Tmem143,chr7,+,45896941,45917413,2766,protein_coding,transmembrane_protein_143,808,523,616,1815,2124,2248,14.96109813,9.771576547,13.04112937,36.3507758,37.04952744,36.90556424
ENSMUSG00000074064,623.9826169,1946.337783,-1.539,1.43E-23,1.25E-20,Mlycd,chr8,+,119394878,119411102,2933,protein_coding,malonyl-CoA_decarboxylase,712,648,575,2037,1798,1813,12.4328936,11.41768529,11.48001481,38.47407582,29.57726148,28.06942133
ENSMUSG00000024411,30.79829348,118.3743355,-1.5261,4.87E-09,3.22E-07,Aqp4,chr18,-,15389394,15403684,5082,protein_coding,aquaporin_4,42,28,26,70,151,136,0.423271392,0.284733454,0.299588649,0.76304932,1.433582276,1.215211767
ENSMUSG00000037656,477.5793124,1457.889217,-1.5239,1.54E-26,3.59E-23,Slc20a2,chr8,+,22476700,22569607,3649,protein_coding,solute_carrier_family_20_member_2,531,524,429,1461,1404,1382,7.452893995,7.421172883,6.884463403,22.18020639,18.56408639,17.19815656
ENSMUSG00000027313,43.95917118,175.0963759,-1.5124,2.64E-08,1.42E-06,Chac1,chr2,+,119351229,119354381,1637,protein_coding,ChaC_cation_transport_regulator_1,31,72,35,89,207,235,0.96987843,2.272997418,1.252004909,3.011830713,6.10101373,6.518788658
ENSMUSG00000087236,8.247493223,43.32310476,-1.488,1.15E-06,3.82E-05,Gm1305,chr1,-,179695297,179745185,3449,protein_coding,predicted_gene_1305,8,12,6,40,42,45,0.118795798,0.179805585,0.101869629,0.642474696,0.587538638,0.592470918
ENSMUSG00000007877,13831.01892,40137.4421,-1.4858,1.69E-38,7.86E-35,Tcap,chr11,+,98383811,98384953,948,protein_coding,titin-cap,15021,14756,13049,37437,38595,41534,811.5117179,804.4062469,806.0380814,2187.670611,1964.278415,1989.496317
ENSMUSG00000050541,225.6441252,718.0254305,-1.4679,1.75E-12,2.71E-10,Adra1b,chr11,-,43774606,43901210,3331,protein_coding,adrenergic_receptor_alpha_1b,187,262,243,804,722,547,2.875221189,4.064824355,4.271872752,13.37120806,10.45786187,7.456935936
ENSMUSG00000072875,21.77436438,87.42562249,-1.4357,4.35E-07,1.66E-05,Gpr27,chr6,+,99692679,99693818,1140,protein_coding,G_protein-coupled_receptor_27,28,27,14,106,67,77,1.257932873,1.223979202,0.719134048,5.150984516,2.835634736,3.067139946
ENSMUSG00000024944,156.1488297,458.1017459,-1.4344,1.97E-17,8.88E-15,Arl2,chr19,-,6134374,6141406,2305,protein_coding,ADP-ribosylation_factor-like_2,191,149,144,432,451,458,4.243915459,3.340646055,3.658290836,10.38250258,9.440303319,9.022819442
ENSMUSG00000031984,249.9388449,724.5312427,-1.4319,3.23E-19,1.96E-16,2810004N23Rik,chr8,-,124839355,124863029,1382,protein_coding,RIKEN_cDNA_2810004N23_gene,278,256,239,724,732,656,10.30246243,9.572977709,10.12690008,29.02149319,25.55544068,21.55477604
ENSMUSG00000029499,194.1777865,578.9135736,-1.4305,1.05E-14,2.57E-12,Pxmp2,chr5,-,110274282,110286186,1041,protein_coding,peroxisomal_membrane_protein_2,229,174,195,561,485,643,11.26650047,8.63800884,10.96908871,29.85391983,22.47870798,28.04839157
ENSMUSG00000027316,47.54010053,147.9448736,-1.4098,1.66E-10,1.56E-08,Gfra4,chr2,-,131039632,131043088,1791,protein_coding,glial_cell_line_derived_neurotrophic_factor_family_receptor_alpha_4,46,55,46,131,144,160,1.315426335,1.587019376,1.504003728,4.051958048,3.8792453,4.056692743
ENSMUSG00000053964,490.1923123,1427.826074,-1.4059,1.16E-14,2.79E-12,Lgals4,chr7,+,28833854,28841708,1384,protein_coding,lectin_galactose_binding_soluble_4,556,437,512,923,1510,1847,20.57514895,16.31775741,21.66309667,36.94492943,52.64064397,60.60082321
ENSMUSG00000040794,57.34152635,177.2721164,-1.405,1.84E-10,1.69E-08,C1qtnf4,chr2,+,90885860,90890525,1290,protein_coding,C1q_and_tumor_necrosis_factor_related_protein_4,67,54,56,138,227,162,2.660047421,2.163312078,2.542055239,5.926231418,8.490171895,5.702601482
